timestamp,container,cpu_percent,memory_usage,memory_percent,network_io,block_io,pids
2026-09-09T02:26:40Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,5.84%,25.11MiB / 1GiB,2.45%,1.42kB / 126B,111kB / 52.2MB,6
2026-09-09T02:26:40Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,0.03%,59.23MiB / 1GiB,5.78%,1.38kB / 126B,0B / 8.19kB,15
2026-09-09T02:26:44Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,0.02%,25.07MiB / 1GiB,2.45%,1.49kB / 126B,111kB / 52.2MB,6
2026-09-09T02:26:44Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,0.01%,59.21MiB / 1GiB,5.78%,1.49kB / 126B,0B / 8.19kB,15
2026-09-09T02:26:49Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,5.55%,25.7MiB / 1GiB,2.51%,1.49kB / 126B,111kB / 52.3MB,6
2026-09-09T02:26:49Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,0.07%,59.09MiB / 1GiB,5.77%,1.49kB / 126B,0B / 8.19kB,15
2026-09-09T02:26:53Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,0.02%,25.15MiB / 1GiB,2.46%,1.53kB / 126B,111kB / 52.3MB,6
2026-09-09T02:26:53Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,10.17%,153MiB / 1GiB,14.94%,63.3MB / 21.6kB,0B / 15.9MB,17
2026-09-09T02:26:58Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,8.03%,25.51MiB / 1GiB,2.49%,1.53kB / 126B,111kB / 52.3MB,6
2026-09-09T02:26:58Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,10.63%,211.2MiB / 1GiB,20.62%,169MB / 55.4kB,578kB / 100MB,18
2026-09-09T02:27:02Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,5.68%,25.46MiB / 1GiB,2.49%,1.6kB / 126B,111kB / 52.3MB,6
2026-09-09T02:27:02Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,1.25%,215.2MiB / 1GiB,21.01%,211MB / 70.6kB,2.7MB / 154MB,19
2026-09-09T02:27:07Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,0.01%,25.15MiB / 1GiB,2.46%,1.6kB / 126B,111kB / 52.3MB,6
2026-09-09T02:27:07Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,102.86%,163.5MiB / 1GiB,15.97%,230MB / 548kB,2.7MB / 194MB,22
2026-09-09T02:27:11Z,groktocrawl-x-vector-scale-34303200570-vector-eval-postgres-1,6.27%,25.28MiB / 1GiB,2.47%,1.6kB / 126B,111kB / 52.3MB,6
2026-09-09T02:27:11Z,groktocrawl-x-vector-scale-34303200570-vector-eval-qdrant-1,103.41%,165.3MiB / 1GiB,16.14%,245MB / 932kB,2.7MB / 239MB,22
